Id,Timestamp,FirebaseUserId,Latitude,Longitude,prevTimestamp,prevLatitude,prevLongitude,MpH,rollingaverage
25000001,2022-01-25 01:45:55,109409728062644297175,41.78452259205520,-72.51987008857350,NULL,NULL,NULL,NULL,NULL
25000002,2022-01-25 01:50:41,109409728062644297175,41.78466701669020,-72.51984877304720,2022-01-25 01:45:55,41.78452259205520,-72.51987008857350,0.1264,0.1264
25000003,2022-01-25 01:50:41,109409728062644297175,41.78455086651420,-72.51990712307400,2022-01-25 01:50:41,41.78466701669020,-72.51984877304720,53.5015,26.8139
25000004,2022-01-25 01:50:42,109409728062644297175,41.78456330662120,-72.51994085773350,2022-01-25 01:50:41,41.78455086651420,-72.51990712307400,6.2893,19.9724
25000005,2022-01-25 01:50:49,109409728062644297175,41.78456330662120,-72.51994085773350,2022-01-25 01:50:42,41.78456330662120,-72.51994085773350,0.0000,14.9793
25000006,2022-01-25 01:51:07,109409728062644297175,41.78456330662120,-72.51994085773350,2022-01-25 01:50:49,41.78456330662120,-72.51994085773350,0.0000,11.9834
25000007,2022-01-25 01:51:08,109409728062644297175,41.78454744155530,-72.51994607450670,2022-01-25 01:51:07,41.78456330662120,-72.51994085773350,15.8748,12.6320
25000008,2022-01-25 02:05:02,109409728062644297175,41.78462223818040,-72.51978303302360,2022-01-25 01:51:08,41.78454744155530,-72.51994607450670,0.0426,10.8335
25000009,2022-01-25 02:08:38,109409728062644297175,41.78462218353930,-72.51978301811120,2022-01-25 02:05:02,41.78462223818040,-72.51978303302360,0.0001,9.4793
25000010,2022-01-25 02:12:11,109409728062644297175,41.78453719936760,-72.51991199614360,2022-01-25 02:08:38,41.78462218353930,-72.51978301811120,0.1496,8.4427
25000011,2022-01-25 02:12:58,109409728062644297175,41.78453719936760,-72.51991199614360,2022-01-25 02:12:11,41.78453719936760,-72.51991199614360,0.0000,7.5984
25000012,2022-01-25 02:12:58,109409728062644297175,41.78456404557360,-72.51988581630580,2022-01-25 02:12:58,41.78453719936760,-72.51991199614360,30.0082,9.6357
25000013,2022-01-25 02:15:05,109409728062644297175,41.78458088205540,-72.51997200880540,2022-01-25 02:12:58,41.78456404557360,-72.51988581630580,0.1300,9.6360
25000014,2022-01-25 02:16:29,109409728062644297175,41.78466701861620,-72.51984879327050,2022-01-25 02:15:05,41.78458088205540,-72.51997200880540,0.3707,4.8059
25000015,2022-01-25 02:16:43,109409728062644297175,41.78466701861620,-72.51984879327050,2022-01-25 02:16:29,41.78466701861620,-72.51984879327050,0.0000,4.2342
25000016,2022-01-25 02:16:44,109409728062644297175,41.78456845931150,-72.51997323194430,2022-01-25 02:16:43,41.78466701861620,-72.51984879327050,47.1669,8.5221
25000017,2022-01-25 02:16:44,109409728062644297175,41.78453853572440,-72.51991454051930,2022-01-25 02:16:44,41.78456845931150,-72.51997323194430,30.1160,11.2599
25000018,2022-01-25 02:16:54,109409728062644297175,41.78456845931150,-72.51997323194430,2022-01-25 02:16:44,41.78453853572440,-72.51991454051930,1.2387,9.9293
25000019,2022-01-25 02:16:55,109409728062644297175,41.78457786175730,-72.51999124376130,2022-01-25 02:16:54,41.78456845931150,-72.51997323194430,13.4246,11.1459
25000020,2022-01-25 02:18:14,109409728062644297175,41.78448939677490,-72.51991041613470,2022-01-25 02:16:55,41.78457786175730,-72.51999124376130,0.3347,11.1763
25000021,2022-01-25 02:18:17,109409728062644297175,41.78448939677490,-72.51991041613470,2022-01-25 02:18:14,41.78448939677490,-72.51991041613470,0.0000,11.1627
25000022,2022-01-25 02:18:17,109409728062644297175,41.78449269633280,-72.51990687193420,2022-01-25 02:18:17,41.78448939677490,-72.51991041613470,3.7124,11.5002
25000023,2022-01-25 02:18:37,109409728062644297175,41.78449269633280,-72.51990687193420,2022-01-25 02:18:17,41.78449269633280,-72.51990687193420,0.0000,8.7722
25000024,2022-01-25 02:18:38,109409728062644297175,41.78452772245020,-72.51986770062650,2022-01-25 02:18:37,41.78449269633280,-72.51990687193420,47.9630,13.1206
25000025,2022-01-25 02:18:58,109409728062644297175,41.78452772245020,-72.51986770062650,2022-01-25 02:18:38,41.78452772245020,-72.51986770062650,0.0000,13.0869
25000026,2022-01-25 02:18:59,109409728062644297175,41.78452525103850,-72.51990658535640,2022-01-25 02:18:58,41.78452772245020,-72.51986770062650,20.4656,14.9474
25000027,2022-01-25 02:20:21,109409728062644297175,41.78456633906760,-72.51994866415300,2022-01-25 02:18:59,41.78452525103850,-72.51990658535640,0.1566,10.6738
25000028,2022-01-25 02:20:23,109409728062644297175,41.78456633906760,-72.51994866415300,2022-01-25 02:20:21,41.78456633906760,-72.51994866415300,0.0000,7.9360
25000029,2022-01-25 02:20:23,109409728062644297175,41.78452775895290,-72.51986764145770,2022-01-25 02:20:23,41.78456633906760,-72.51994866415300,58.9559,13.1830
25000030,2022-01-25 02:21:08,109409728062644297175,41.78454142344540,-72.51987879766920,2022-01-25 02:20:23,41.78452775895290,-72.51986764145770,0.0884,11.9706
25000031,2022-01-25 02:21:10,109409728062644297175,41.78454142344540,-72.51987879766920,2022-01-25 02:21:08,41.78454142344540,-72.51987879766920,0.0000,11.9402
25000032,2022-01-25 02:21:10,109409728062644297175,41.78454153333170,-72.51987891989490,2022-01-25 02:21:10,41.78454142344540,-72.51987879766920,0.1768,11.9562
25000033,2022-01-25 02:21:10,109409728062644297175,41.78454146661320,-72.51987884740650,2022-01-25 02:21:10,41.78454153333170,-72.51987891989490,0.1934,11.6363
